Colegio,Teléfono,Email,Codigo Postal,Provincia,Estado
ARCO IRIS,933973145,ARCOIRIS23@HOTMAIL.ES,8,BARCELONA,CATALUÑA
EL TRENET,629821710,El_trenet@hotmail.com,25,LLEIDA,CATALUÑA
ATENEU INSTRUCTIU,933731716,ggalcer3@xtec.cat,8,BARCELONA,CATALUÑA
MANYANET VILAFRANCA (SANT RAMON DE PENYAFORT),93 890 0188,e.gutierrez@vilafranca.manyanet.org,8,BARCELONA,CATALUÑA
ESCOLA SANTA MARIA DELS APÒSTOLS,933149011,cristina.marcus@smapostols.org,8,BARCELONA,CATALUÑA
ESCUELA JOSEP CARNER,600375164,jlope435@xtec.cat,8,BARCELONA,CATALUÑA
ATENEU INSTRUCTIU,933731716,ggalcer3@xtec.cat,8,BARCELONA,CATALUÑA
ESCOLA L'ASSUMPCIÓ,977489593,e3004074@xtec.cat,43,TARRAGONA,CATALUÑA
EL CARME,693216932,joan.espinosa@elcarmelleida.cat,25,LLEIDA,CATALUÑA
CEI EL CORNETÍN,651359472,Ceuta@kidsco.es,0,CEUTA,CEUTA
CEIP MARIANO BENLLIURE,962565220,46016129@gva.es,46,VALENCIA,COMUNIDAD VALENCIANA
SUNNYSIDE,692924863,sunnysidecei@gmail.com,46,VALENCIA,COMUNIDAD VALENCIANA
BABY IALE,963464190,info@babyiale.com,46,VALENCIA,COMUNIDAD VALENCIANA
CEIP LA CALA,966870910,03003000@gva.es,46,VALENCIA,COMUNIDAD VALENCIANA
LA LLAR DELS BARRUFETS,625243812,LLARBARRUFETS@HOTMAIL.COM,46,VALENCIA,COMUNIDAD VALENCIANA
ESCUELA INFANTIL EL PATIET,965567043,elpatiet@hotmail.com,3,ALICANTE,COMUNIDAD VALENCIANA
E.I. JOANOT MARTORELL,966912025,03013200@gva.es,3,ALICANTE,COMUNIDAD VALENCIANA
CEI EL BADALL,96-1754311,elvi74@hotmail.es,46,VALENCIA,COMUNIDAD VALENCIANA
CEIP LA CONDOMINA,678436857,luisavoramar@gmail.com,3,ALICANTE,COMUNIDAD VALENCIANA
E.I. MUNICIPAL,655672180,alberodos@gmail.com,3,ALICANTE,COMUNIDAD VALENCIANA
SANTA TERESA DE JESÚS EL VEDAT,696706652,monica.perez@elvedat.escolateresiana.com,46,VALENCIA,COMUNIDAD VALENCIANA
MINI MÓN,625321635,03020587@gva.es,3,ALICANTE,COMUNIDAD VALENCIANA
CEIP FRANCISCO GRANGEL MASCARÓS,964738255,12000133@edu.gva.es,0,CASTELÓN,COMUNIDAD VALENCIANA
IES JORDI DE SANT JORDI,606251637,Lacastaana@iesjordi.com,46,VALENCIA,COMUNIDAD VALENCIANA
CEIP COMTE D'ARANDA,964738305,12000145@gva.es,12,CASTELLÓN,COMUNIDAD VALENCIANA
COLEGIO LA SALLE,649568725,egustems@lasallevp.es,12,CASTELLÓN,COMUNIDAD VALENCIANA
IES XIMEN D'URREA,628324487,orientacio@ximendurrea.com,12,CASTELLÓN,COMUNIDAD VALENCIANA
COLEGIO PUÉRTOLAS PARDO,964360083,gual@puertolaspardo.org,12,CASTELLÓN,COMUNIDAD VALENCIANA
IES PUZOL,615286564,vicenteibanezmomplet@gmail.com,46,VALENCIA,COMUNIDAD VALENCIANA
CEIP MARÍA MOLINER,678200208,03017311@gva.es,3,ALICANTE,COMUNIDAD VALENCIANA
CEIP ELS GARROFERS,966630494,03012062@gva.es,3,ALICANTE,COMUNIDAD VALENCIANA
COLEGIO HOGAR NUESTRA SEÑORA DEL ROSARIO,963672182,colegio@hogarrosario.com,46,VALENCIA,COMUNIDAD VALENCIANA
CEIP JORGE GUILLÉN,966616055,03011884@gva.es,3,ALICANTE,COMUNIDAD VALENCIANA
PRIMER CICLO MUNICIPAL SEISCIENTAS TRECE LLUMENETES I,664653029,llumenetes1@cativos.com,46,VALENCIA,COMUNIDAD VALENCIANA
CEIP LO CAMPANAR,964336053-964336050,12000121@gva.es,12,CASTELLÓN,COMUNIDAD VALENCIANA
VAMOS AL COLE,649309667,Lidiasantularia89@gmail.com,3,ALICANTE,COMUNIDAD VALENCIANA
"ESCUELA INFANTIL MUNICIPAL ""VAMOS AL COLE""",646246088,estefaniapjpj@gmail.com,0,ALGUEÑA-ALICANTE,COMUNIDAD VALENCIANA
CEIP ALCALDE FABREGAT,964336125,12000431@gva.es,12,CASTELLÓN,COMUNIDAD VALENCIANA
ESCUELA INFANTIL LA PRADERA,675894797,espacioeducativolapradera@gmail.com,3,ALICANTE,COMUNIDAD VALENCIANA
CEIP SANTA TERESA DE JESÚS,617788353,mcgarzonh@educa.jcyl.es,0,AVILA,CYL
KIDSCO GENERAL MENACHO,924285130,botoa@kidsco.es,6,BADAJOZ,EXTREMADURA
COLEGIO LA SALLE,634813999,andrea.rodriguez@lasallesantiago.gal,15,A CORUÑA,GALICIA
ESCOLA INFANTIL PASIÑO A PASIÑO,657415605,Gipasinos@gmail.com,32,OURENSE,GALICIA
ESCOLA DE EDUCACIÓN INFANTIL,649390956,ceip.rubios@edu.xunta.gal,36,PONTEVEDRA,GALICIA
CEIP A DOBLADA,636335736,cristinaabalo@edu.xunta.gal,36,PONTEVEDRA,GALICIA
CPR CID,981255244,cpr.cid@edu.xunta.gal,15,A CORUÑA,GALICIA
CEIP. DE VITEI,881867830/ 643938527,ceipvite1@edu.xunta.es,15,A CORUÑA,GALICIA
CEIP DE MACEDA,606159271,andreafernandez@ceippmaceda.com; fernandeznovoandrea@gmail.com,32,OURENSE,GALICIA
CEIP A PAZ TINTUREIRA,886120271,ceip.apaz@edu.xunta.es,0,VIGO-PONTEVEDRA,GALICIA
CEIP PLURILINGÜE RÍA DE VIGO,886120101,ceip.riadevigo@edu.xunta.gal,36,PONTEVEDRA,GALICIA
CEIP DA LAXE,660445003,noemigr@edu.xunta.gal,36,PONTEVEDRA,GALICIA
ESCOLA INFANTIL PASIÑO A PASIÑO,657415605,Gipasinos@gmail.com,32,OURENSE,GALICIA
GRUMETE FERROL,981336193,grumeteferrol@kidsco.es,15,A CORUÑA,GALICIA
ESCOLA INFANTIL O PARQUE,981766705,eioparque@gmail.com,15,A CORUÑA,GALICIA
SAN JOSÉ CARMELITAS A GUARDA,699030369,mariateresa_barbosa@hotmail.com,36,PONTEVEDRA,GALICIA
ESCUELA INFANTIL CEO AZUL BUEU,698155576,aeceoazulbueu@gmail.com,36,PONTEVEDRA,GALICIA
CEIP PLURILINGÜE CASTRILLÓN - COIRO,663641474,lboubeta16@gmail.com,36,PONTEVEDRA,GALICIA
CASA DO NENO,619169300,casadoneno@casadoneno.edu.es,15,A CORUÑA,GALICIA
CEIP PLURILINGÜE DOMAIO,657507313,ceip.domaio@edu.xunta.gal,36,PONTEVEDRA,GALICIA
KIDSCO VIRGEN DE LORETO,655020442,palma@kidsco.es,0,PALMA DE MALLORCA,ISLAS BALEARES
CEIP MAESTRO FÉLIX SANTANA,928697147,35007301@gobiernodecanarias.org,35,LAS PALMAS,ISLAS CANARIAS
CRA ENTREVALLES,941367323,sreglerog01@larioja.edu.es,26,LA RIOJA,LA RIOJA
CEIP ADELA SANTANA,618937563,aperrioa@canariaseducacion.es,35,LAS PALMAS,LAS PALMAS DE GC
COLEGIO SAN LUIS FELCA,687749892,a.iturbide@sanluisfelca.com,28,MADRID,MADRID
NUESTRA SEÑORA DE LAS VICTORIAS,914035303,Amartinez@filipensesmadrid.net,28,MADRID,MADRID
ESCUELA INFANTIL ANDARINES,649919909,marcordero@andarines-ei.com,28,MADRID,MADRID
COLEGIO CASTILLA,647600542,henar.m.n@colegiocastilla.com,28,MADRID,MADRID
LA CHARCA MÁGICA,623193113,lgomez@lacharcamagica.es,28,MADRID,MADRID
BICHEJOS,915277521,valdebebas@escuelainfantilbichejos.com,28,MADRID,MADRID
EASY PEASY,660063927,INES@EASY-PEASY.ES,28,MADRID,MADRID
ESCUELA INFANTIL LA LUNA,653932884,cgarcifi@gmail.com,28,MADRID,MADRID
COLEGIO ESCANDINAVO,916500127,colegio@escandinavo.com,28,MADRID,MADRID
BARCOS DE PAPEL,644527327,info@escuelainfantilbarcosdepapel.com,28,MADRID,MADRID
KING'S INFANT SCHOOL,669806307,miguelangel.dominguez@kings.education,28,MADRID,MADRID
E.I. MUNDO MÁGICO,916698374,direccion@escuelamundomagico.com,28,MADRID,MADRID
CC LUIS FEITO,914623137,luisfeito@telefonica.net,28,MADRID,MADRID
CEIP EMPERADOR CARLOS V,916812701,cp.emperadorcarlosv.getafe@educa.madrid.org,28,MADRID,MADRID
CEIP REPUBLICA DE CHILE,913046658,CP.CHILE.MADRID@EDUCA.MADRID.ORG,28,MADRID,MADRID
EL PARQUE,912412201,CEIELPARQUE@GMAIL.COM,28,MADRID,MADRID
ESCUELA INFANTIL ARCO IRIS,666 296 921,arcoirismoratalaz@hotmail.com,28,MADRID,MADRID
EI CHIQUIHOUSE,916924353,eichiquihouse@hotmail.com,28,MADRID,MADRID
EEI EL GATO CON BOTAS,911167918,escuelainfantilelgatoconbotas@gmail.com,28,MADRID,MADRID
ESCUELA INFANTIL DIÁBOLO,639771938,diaboloei@hotmail.es,28,MADRID,MADRID
"C.E.I.P ""ANTONIORROBLES""",918903391,cp.antoniorobles.sanlorenzo@educa.madrid.org,28,MADRID,MADRID
ESCUELA INFANTIL PUZZLES,683434831,eipuzzles18@gmail.com,28,MADRID,MADRID
ESCUELA INFANTIL LAS MENINAS,918977739,eei.lasmeninas.valdemorillo@educa.madrid.org,28,MADRID,MADRID
E.I PARQUE DE LISBOA,608794740,luz-lucendo@hotmail.com,28,MADRID,MADRID
CEIP VICENTE ALEIXANDRE ALCORCÓN,665105599,mdolores.sanchez.moreno@madrid.org,28,MADRID,MADRID
ESCUELA INFANTIL LA ALDEA,615384556,escuelainfantillaaldea@hotmail.com,28,MADRID,MADRID
ESCUELA INFANTIL LUISMAPETONGA - PELUCHES,609725299,infoluismapetonga@gmail.com,28,MADRID,MADRID
ESCUELA INFFANTIL PILOCHA,916790671,escuelapilocha@hotmail.es,28,MADRID,MADRID
ESC. INF. LA CASITA DE KIKA,915659453,lacasitadekika@yahoo.es,28,MADRID,MADRID
CEIP BELMONTE DE TAJO,918747247,cp.belmontedetajo.belmonte@educa.madrid.org,28,MADRID,MADRID
ESCUELA INFANTIL CHIRIBITAS,685635324,info@escuelachiribitas.com,28,MADRID,MADRID
ESCUELA INFANTIL PLANETA AZUL AIRBUS,662968877,planetaazul@kidsco.es,28,MADRID,MADRID
E.I.OSOBUCO,914139286,osobuco2@osobuco.net,28,MADRID,MADRID
C.E.I SUEÑOS DE PAPEL,657937248,suenosdepapel.escuelainfantil@gmail.com,28,MADRID,MADRID
PEQUEÑO PRÍNCIPE,656858038,planetaprincipe@gmail.com,28,MADRID,MADRID
EEI EL SEÑOR DON GATO,670939547,ELSENORDONGATO@KIDSCO.ES,28,MADRID,MADRID
MY LITTLE PLANET NURSERY SCHOOL,618925557,info@mylittleplanet.es,28,MADRID,MADRID
ESCUELA INFANTIL LA CASITA DE MURIEL,679593246,lacasitademuriel@hotmail.com,28,MADRID,MADRID
ESCUELA INFANTIL ANETACHU,918062208,alejandra.lopezrios@anetachu.com,28,MADRID,MADRID
ESCUELA INFANTIL BAMBINO’S,685179914,Info@eibambinos.com,28,MADRID,MADRID
BETARIA,686071121,amandali85@hotmail.com,28,MADRID,MADRID
ESCUELA INFANTIL MAMÁ,916905618,directora@eimama.com,28,MADRID,MADRID
ESCUELA INFANTIL PUZZLE,914996047,informacion@escuelainfantilpuzzle.com,28,MADRID,MADRID
COLEGIO LOS NOGALES,918104457,infantil@colegiolosnogales.es,28,MADRID,MADRID
ESCUELA INFANTIL ALEGRÍA,620737282,info@escuelainfantilalegria.com,28,MADRID,MADRID
ESCUELA INFANTIL EL GIRASOL,917415256,administracion@el-girasol.net,28,MADRID,MADRID
ESCUELA INFANTIL SOL SOLITO,699873469,eisolsolito@geinfantiles.com,28,MADRID,MADRID
CEIP MARUJA MALLO,699662524,ines.jimenez3@educa.madrid.org,28,MADRID,MADRID
ESCUELA INFANTIL BABYLAND,675746630,dani_y_su@hotmail.com,28,MADRID,MADRID
CEIP. ANTONIO HERNÁNDEZ,916133008,cp.antoniohernandez.mostoles@educa.madrid.org,28,MADRID,MADRID
EI CHIQUIHOUSE,916924353,eichiquihouse@hotmail.com,28,MADRID,MADRID
ESCUELA INFANTIL MARTA MATA,647520796,marta.mata@kidsco.es,28,MADRID,MADRID
ESCUELA INFANTIL FÁBULAS Y LEYENDAS,647521218,fabulasyleyendas@kidsco.es,28,MADRID,MADRID
COLEGIO SAN RAMÓN Y SAN ANTONIO,915637091,jchuete@colegiosanramonysanantonio.es,28,MADRID,MADRID
ESCUELA INFANTIL CASCABELES,646062332,cascabeles@kidsco.es,28,MADRID,MADRID
ESCUELA INFANTIL MIS GARABATOS,916476370,escuelainfantilmisgarabatos@hotmail.com,28,MADRID,MADRID
MIRASUR,916925089,lauragarcia@colegiomirasur.com,28,MADRID,MADRID
ROSA CARAMELO,674864020,rosacaramelo@kidsco.es,28,MADRID,MADRID
EEI EL PRINCIPITO,916291761,MMC236@MADRID.ORG,28,MADRID,MADRID
COLEGIO LITTERATOR,657213730,Soledad.gonzalez@colegiolitterator.com,28,MADRID,MADRID
LUZ CASANOVA EMBAJADORES,679041388,iris.zurita@luzcasanovaembajadores.es,28,MADRID,MADRID
LUZ CASANOVA EMBAJADORES,618349343,berta.dominguez@luzcasanovaembajadores.es,28,MADRID,MADRID
COLEGIO SAN ALBERTO MAGNO,680744543,jessica_pl_@hotmail.com,28,MADRID,MADRID
FONTENEBRO INTERNATIONAL SCHOOL,918578942,j.garcia@laudefontenebro.com,28,MADRID,MADRID
ESCUELA INFANTIL PIECITOS,651176707,marta.lopez.mesas@hotmail.es,28,MADRID,MADRID
DRAGON AMERICAN SCHOOL,675884591,Lucia@dragonamericanschool.com,28,MADRID,MADRID
ESCUELA INFANTIL BENJAMINES,914034223,info@benjamines.es,28,MADRID,MADRID
DRAGON AMERICAN SCHOOL,675884591,lucia@dragonamericsnschool.com,28,MADRID,MADRID
CEIP BARCELONA,CEIP Barcelona,cp.barcelona.madrid@educa.madrid.org,28,MADRID,MADRID
KIDSCO BAT,659973454,Torrejon@kidsco.es,28,MADRID,MADRID
MONTESSORI VILLAGE ALCALÁ,605910011,alcala@montessorivillage.es,28,MADRID,MADRID
ESCUELA INFANTIL SAN JORGE SCHOOL,671525992,administracion@sanjorgeschool.com,28,MADRID,MADRID
CEIP CIUDAD PEGASO,677324620,patriciavazquez85@hotmail.com,28,MADRID( CANILLEJAS- SAN BLAS),MADRID
COLEGIO HÉLADE,916338062,direccion@colegiohelade.es,28,MADRID,MADRID
NUESTRA SEÑORA DE LA MERCED,914727650,esther.perez@nslamerced.com,28,MADRID,MADRID
CEIP RABINDRANATH TAGORE,917332373,cp.tagore.madrid@educa.madrid.org,28,MADRID,MADRID
ESCUELA EDUCACIÓN INFANTIL ROSA,913501362,eei.rosa.madrid@educa.madrid.org,28,MADRID,MADRID
PONCE DE LEÓN,913178441,ralvarez@ponceleon.org,28,MADRID,MADRID
KIDSCO ALFONSO X,915126620,geografico@kidsco.es,28,MADRID,MADRID
COTTONS,916433265,e_i_cottons@hotmail.com,28,MADRID,MADRID
CEIP SAN LORENZO,618776063,lauraprofeinfantil15@gmail.com,28,SAN LORENZO DE EL ESCORIAL,MADRID
CRA CABANILLAS DE LA SIERRA,918439021,cra.cabanillas@educa.madrid.org,28,MADRID,MADRID
CEIP MARÍA DE MAEZTU,918574465,cp.mariademaeztu.cerceda@educa.madrid.org,28,MADRID,MADRID
MARÍA,669137824,maglezn@gmail.com,28,MADRID,MADRID
E.I. MARGOT,91367283,informacion@cimargot.com,28,MADRID,MADRID
CEIP ERMITA DEL SANTO,679995993,cp.ermitadelsanto.madrid@educa.madrid.org,28,MADRID,MADRID
CEIP JORGE GUILLÉN ,676770271,n8emi@yahoo.es,28,MADRID,MADRID
ESCUELA INFANTIL LOS ÁNGELES,649984484,losangeles.ampa@gmail.com,28,MADRID,MADRID
MONTESSORI VILLAGE LA MORALEJA,620909956,pedagogico.lamoraleja@montessorivillage.es,28,MADRID,MADRID
COLEGIO LICEO EUROPEO,916500000,antonio.delpozo@liceo-europeo.edu.es,28,MADRID,MADRID
KIDSCO MELILLA,952116103,Melilla@kidsco.es,0,MELILLA,MELILLA
COLEGIO MAGDA,628573238,isabelmartinez@colegiomagda.com,30,MURCIA,MURCIA
CEIP POETA ANTONIO OLIVER,968518024,30001965@murciaeduca.es,30,MURCIA,MURCIA
C.E.I.P ATALAYA,646436810,anganoal@hotmail.com,30,CARTAGENA,MURCIA
GRUMETE CARTAGENA,696806222,mayos0@hotmail.com,30,MURCIA,MURCIA
KIDSCO ACADEMIA GENERAL DEL AIRE,968189641,Sanjavier@kidsco.es,30,MURCIA,MURCIA
ESCUELA INFANTIL KIDSCO B.A. ALCANTARILLA,657865783,Alcantarilla@kidsco.es,30,MURCIA,MURCIA
ESCUELA INFANTIL NENOS,661913224/ 968079024,escuelanenos@gmail.com,30,MURCIA,MURCIA
ÁNGEL MARTÍNEZ BAIGORRI,948693311,cplodosa@educacion.navarra.es,0,NAFARROOA,NAFARROA
LA PRESENTACIÓN-FES,948140388,i.larrea.vil@fesd.es,31,NAVARRA,NAVARRA
CPEIP PITILLAS,948745226,cppitill@educacion.navarra.es,31,NAVARRA,NAVARRA
ESCEULA DE EDUCADORES/AS PAMPLONA,630571923,egravalo@educacion.navarra.es,31,NAVARRA,NAVARRA
C.I. ESCUELA DE EDUCADORAS Y EDUCADORES - HEZITZAILE ESKOLA I.I,848430970,eetxebe2@educacion.navarra.es,31,NAVARRA,NAVARRA
COLEGIO NOTRE DAME- FESD,948143599,dpp.burlada@fesd.es,31,NAVARRA,NAVARRA
"ESCUELA INFANTIL ""SEGUNDA GENERACIÓN""",610348010,escuelainfantil@caparroso.es,31,NAVARRA,NAVARRA
COLEGIO LA ANUNCIATA,639423596,jep.tudela@fesd.es,31,NAVARRA,NAVARRA
ZANGOZA IKASTOL,948870919,maiderberrotaran@zangoza-ikastola.org,31,NAVARRA,NAVARRA
CENTRO INFANTIL LA GUARDE,617125071,laguarde.villava@gmail.com,31,NAVARRA,NAVARRA
MURUMENDI,647315625,Marea018@gmail.com,0,ZUMARRAGA,PAÍS VASCO
CEIP MARIA ZAMBRANO,976568514 619137803,belen.valero@mzambranozgz.com,50,ZARAGOZA,ZARAGOZA
STA. MARÍA DEL PILAR - MARIANISTAS,976 25 87 87,cgarcia@marianistas.net,50,ZARAGOZA,ZARAGOZA
